Número de componentes, T. secuencial vect. Globales 1 thread/core, T. paralelo (versión for) 8 threads/cores, T. paralelo (versión sections) 8threads/cores
16384,0.000101225,0.007222363,0.001799191
32768,0.000204246,0.003993563,0.002377362
65536,0.000401394,0.004612314,0.004092966
131072,0.000813813,0.001875110,0.003044942
262144,0.001195317,0.004514269,0.005318363
524288,0.002524927,0.004231805,0.005624921
1048576,0.005491663,0.005209098,0.010196138
2097152,0.010927182,0.005564016,0.014486940
4194304,0.021725446,0.007850455,0.032244172
8388608,0.043230731,0.011791516,0.061375547
16777216,0.083389303,0.020750833,0.109642552
33554432,0.159547245,0.038841992,0.198247817
67108864,0.159516953,0.037830352,0.210291847
